Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
1014,Beef cattle farm worker; Drover – beef cattle; Jackeroo – beef cattle; Jillaroo – beef cattle; Stationhand – beef cattle,Female,"2,027","26,346",,,,
976,Beef cattle farm worker; Drover – beef cattle; Jackeroo – beef cattle; Jillaroo – beef cattle; Stationhand – beef cattle,Male,"4,974","34,165",,,,
722,Beef cattle farmer or farm overseer,Female,511,"39,850",,,,
758,Beef cattle farmer or farm overseer,Male,"2,380","47,882",,,,
404,Betting agency manager,Female,93,"56,833",,,,
256,Betting agency manager,Male,173,"85,803",,,,
1084,Bicycle mechanic,Female,24,"19,735",,,,
965,Bicycle mechanic,Male,"1,028","35,003",,,,
930,Bingo caller; Keno terminal operator,Female,147,"31,065",,,,
566,Bingo caller; Keno terminal operator,Male,48,"60,292",,,,
238,Biochemist,Female,"1,164","67,389",,,,
248,Biochemist,Male,978,"86,974",,,,
336,Biologist; Life scientist,Female,"3,365","60,428",,,,
343,Biologist; Life scientist,Male,"2,546","77,036",,,,
309,Biomedical engineer,Female,242,"61,709",,,,
339,Biomedical engineer,Male,884,"77,218",,,,
186,Biophysicist,Female,27,"73,363",,,,
257,Biophysicist,Male,107,"85,653",,,,
294,Biotechnologist,Female,561,"62,905",,,,
298,Biotechnologist,Male,509,"81,466",,,,
649,Blacksmith,Female,3,"43,252",,,,
676,Blacksmith,Male,125,"52,485",,,,
1013,Boarding kennel or cattery operator,Female,361,"26,388",,,,
885,Boarding kennel or cattery operator,Male,126,"40,571",,,,
828,Boat builder or repairer; Rigger – boat,Female,31,"34,608",,,,
610,Boat builder or repairer; Rigger – boat,Male,"2,193","56,628",,,,
414,Boatswain; Deckhand; Merchant seaman; Sailor; Seafarer,Female,907,"56,107",,,,
237,Boatswain; Deckhand; Merchant seaman; Sailor; Seafarer,Male,"8,338","88,121",,,,
330,Bobcat operator; Front end loader operator,Female,66,"60,843",,,,
486,Bobcat operator; Front end loader operator,Male,"2,026","65,842",,,,
949,Body artist; Body piercer; Tattooist,Female,186,"30,025",,,,
1000,Body artist; Body piercer; Tattooist,Male,202,"32,615",,,,
